Price,City,District,Neighborhood,Average Price,Listing Number,Listing Update Date,Category,Net Square Meters,Number of Rooms,Floor,Heating Type,Deposit,Number of Bathrooms,Listing Creation Date,Type,Kind,Gross Square Meters,Building Age,Number of Building Floors,Usage Status,Within Site,Price Status,Structure Status,Furnishing Status,Balcony Status,Building Type,Number of WCs,Swap,Bathroom Square Meters,Living Room Square Meters,WC Square Meters,Virtual Tour Available?,Maintenance Fee,Balcony Type,Number of Balconies,Balcony Square Meters
18000TL,İstanbul,Şişli,Mecidiyeköy Mahallesi,8365.0,15781591,29 Ağustos 2024,Kiralık,25 m²,Stüdyo,1.Kat,Kombi Doğalgaz,,1,28 Ağustos 2024,Konut,Daire,35 m²,11-15,5,Boş,Hayır,Genel Fiyat,,Eşyalı,,,,Yok,,,,,,,,
75000TL,İstanbul,Beykoz,Soğuksu Mahallesi,54950.0,15781589,28 Ağustos 2024,Kiralık,165 m²,3+1,1.Kat,Kombi Doğalgaz,,1,28 Ağustos 2024,Konut,Daire,175 m²,11-15,5,Boş,Evet,Genel Fiyat,,Boş,,,,Yok,,,,,,,,
26000TL,İstanbul,Şişli,Mecidiyeköy Mahallesi,17925.0,15781587,28 Ağustos 2024,Kiralık,70 m²,2+1,1.Kat,Kombi Doğalgaz,,1,28 Ağustos 2024,Konut,Daire,75 m²,5-10,7,Boş,Hayır,Genel Fiyat,,Eşyalı,,,,Yok,,,,,,,,
20000TL,İstanbul,Kağıthane,Çağlayan Mahallesi,14365.0,15781585,28 Ağustos 2024,Kiralık,60 m²,2+1,Çatı Katı,Kombi Doğalgaz,,1,28 Ağustos 2024,Konut,Daire,65 m²,5-10,5,Boş,Hayır,Genel Fiyat,,Eşyalı,,,,Yok,,,,,,,,
22000TL,İstanbul,Şişli,Mecidiyeköy Mahallesi,13862.0,15781584,28 Ağustos 2024,Kiralık,44 m²,1+1,3.Kat,Kombi Doğalgaz,,1,28 Ağustos 2024,Konut,Daire,58 m²,16-20,5,Boş,Hayır,Genel Fiyat,,Eşyalı,,,,Yok,,,,,,,,
20000TL,İstanbul,Şişli,Kuştepe Mahallesi,20230.0,15781583,28 Ağustos 2024,Kiralık,80 m²,2+1,1.Kat,Kombi Doğalgaz,,1,28 Ağustos 2024,Konut,Daire,85 m²,4,4,Boş,Hayır,Genel Fiyat,,Eşyalı,,,,Yok,,,,,,,,
14000TL,İstanbul,Şişli,Kuştepe Mahallesi,7140.0,15781582,28 Ağustos 2024,Kiralık,25 m²,Stüdyo,2.Kat,Kombi Doğalgaz,,1,28 Ağustos 2024,Konut,Daire,30 m²,2,3,Boş,Hayır,Genel Fiyat,,Eşyalı,,,,Yok,,,,,,,,
25000TL,İstanbul,Şişli,Mecidiyeköy Mahallesi,19120.0,15781574,28 Ağustos 2024,Kiralık,70 m²,2+1,3.Kat,Kombi Doğalgaz,,1,28 Ağustos 2024,Konut,Daire,80 m²,3,4,Boş,Hayır,Genel Fiyat,,Eşyalı,,,,Yok,,,,,,,,
20000TL,İstanbul,Şişli,Mecidiyeköy Mahallesi,16730.0,15781573,28 Ağustos 2024,Kiralık,65 m²,1.5+1,3.Kat,Kombi Doğalgaz,,1,28 Ağustos 2024,Konut,Daire,70 m²,11-15,7,Boş,Hayır,Genel Fiyat,,Eşyalı,,,,Yok,,,,,,,,
22000TL,İstanbul,Beylikdüzü,Yakuplu Mahallesi,15500.0,15781243,28 Ağustos 2024,Kiralık,90 m²,2+1,1.Kat,Kombi Doğalgaz,,2,28 Ağustos 2024,Konut,Daire,100 m²,0 (Yeni),5,Boş,Hayır,Genel Fiyat,,Boş,,,,Yok,,,,,,,,
20000TL,İstanbul,Beylikdüzü,Adnan Kahveci Mahallesi,20930.0,15781084,30 Ağustos 2024,Kiralık,115 m²,1+1,Yüksek Giriş,Kombi Doğalgaz,,1,28 Ağustos 2024,Konut,Daire,130 m²,16-20,13,Boş,Evet,Genel Fiyat,,Boş,,,,Yok,,,,,,,,
25000TL,İstanbul,Bahçelievler,Soğanlı Mahallesi,18000.0,15781042,28 Ağustos 2024,Kiralık,110 m²,3+1,1.Kat,Kombi Doğalgaz,,1,28 Ağustos 2024,Konut,Daire,120 m²,21 Ve Üzeri,5,Boş,Hayır,Genel Fiyat,,Boş,,,,Yok,,,,,,,,
35000TL,İstanbul,Kartal,Esentepe Mahallesi,22372.0,15780668,27 Ağustos 2024,Kiralık,53 m²,1+1,1.Kat,Merkezi (Pay Ölçer),,1,27 Ağustos 2024,Konut,Daire,68 m²,0 (Yeni),14,Boş,Evet,Genel Fiyat,,Boş,,,,Yok,,,,,,,,
51000TL,İstanbul,Beyoğlu,Kılıçali Paşa Mahallesi,46000.0,15780547,27 Ağustos 2024,Kiralık,90 m²,2+1,1.Kat,Kombi Doğalgaz,,1,27 Ağustos 2024,Konut,Daire,100 m²,21 Ve Üzeri,5,Boş,Hayır,Genel Fiyat,,Boş,,,,Yok,,,,,,,,
45000TL,İstanbul,Şişli,Merkez Mahallesi,39000.0,15780545,27 Ağustos 2024,Kiralık,110 m²,3+1,4.Kat,Kombi Doğalgaz,,2,27 Ağustos 2024,Konut,Daire,120 m²,21 Ve Üzeri,4,Boş,Hayır,Genel Fiyat,,Eşyalı,,,,Yok,,,,,,,,
39000TL,İstanbul,Beyoğlu,Çukur Mahallesi,37000.0,15780543,27 Ağustos 2024,Kiralık,199 m²,1 Oda,,Merkezi Doğalgaz,,Yok,27 Ağustos 2024,Konut,Bina,200 m²,21 Ve Üzeri,5,Boş,Hayır,Genel Fiyat,,,,,,Yok,,,,,,,,
19000TL,İstanbul,Esenyurt,Zafer Mahallesi,10488.0,15779859,27 Ağustos 2024,Kiralık,45 m²,1+1,14.Kat,Merkezi (Pay Ölçer),,1,27 Ağustos 2024,Konut,Daire,69 m²,4,39,Boş,Evet,Genel Fiyat,,,,,,,,,,,,,,
9000TL,İstanbul,Pendik,Ertuğrul Gazi Mahallesi,8800.0,15779361,27 Ağustos 2024,Kiralık,90 m²,2+1,Müstakil,Sobalı,,1,27 Ağustos 2024,Konut,Daire,100 m²,21 Ve Üzeri,1,Boş,Hayır,Genel Fiyat,,Boş,,,,Yok,,,,,,,,
